rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,total_score
251,"Royal Holloway, University of London",9503,15.2,36,59,30.6,30.2,73.4,37.1,92.8,48.1475
251,Ruhr University Bochum,43015,60.5,14,49,39.7,45,57.9,54.5,55,48.2675
251,University of São Paulo,83214,15.9,4,48,56.4,54,40.6,39.9,33.9,48.84
251,Sapienza University of Rome,71318,21.3,6,57,40.4,40,69.8,43.6,40.5,49.1875
251,Simon Fraser University,26521,27.3,30,55,24.1,35.5,75.3,47,91.1,48.4775
251,University of South Australia,20268,30.5,25,58,31.5,39.4,65.8,82.5,89.3,49.77
251,University of Southern Denmark,21281,12.1,17,53,21.4,28.1,85.1,69.7,80.9,48.19
251,Stellenbosch University,24308,26.1,8,55,29.5,34.6,74.4,59.1,54.8,47.1375
251,University of Stuttgart,26004,45.8,20,32,41.8,45.4,52.4,61.1,53.1,47.39
251,Sun Yat-sen University,53603,16.6,9,51,43.6,35.8,63.5,56.4,34.9,46.8975
251,University of Surrey,13125,16,37,55,30.2,34.3,71.9,46.8,93.7,49.1175
251,Swansea University,16445,16.7,23,45,21.3,24.1,93.3,36.8,83.2,48.77
251,Syracuse University,20236,15.7,20,53,35.1,29.6,78.1,35.3,48.7,47.375
251,Tampere University,15149,21.8,6,51,26.4,34.7,81.8,52.6,49.3,47.8825
251,Technical University of Darmstadt,18166,40.8,17,30,42.4,44.2,50.4,89.5,57.2,47.6275
251,Tohoku University,17735,8.2,12,27,52.7,54.4,39.8,86.4,38.1,49.0875
